id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,number_of_reviews,review_scores_rating,reviews_per_month,zona,is_superhost
271975,f,Vidigal,-22.99508,-43.23604,Entire home/apt,4,236.0,7,4.14,0.05,Zona Sul,False
272335,f,Copacabana,-22.9623,-43.17389,Entire home/apt,4,723.0,367,4.92,2.31,Zona Sul,False
272631,t,Copacabana,-22.9675,-43.18666,Private room,2,1146.0,32,5.0,0.25,Zona Sul,True
273261,f,Leblon,-22.98632,-43.22936,Entire home/apt,6,6742.0,0,,0.0,Zona Sul,False
273363,f,Santa Teresa,-22.91825,-43.17872,Private room,1,61.0,5,5.0,0.04,Zona Sul,False
273496,f,Leblon,-22.98161,-43.22189,Entire home/apt,6,703.0,60,4.8,0.38,Zona Sul,False
273753,f,Santa Teresa,-22.91709,-43.18068,Private room,1,59.0,4,4.5,0.03,Zona Sul,False
274116,f,Santa Teresa,-22.91984,-43.1865,Entire home/apt,3,225.0,48,4.92,0.4,Zona Sul,False
278679,t,Copacabana,-22.98069,-43.19277,Entire home/apt,2,759.0,59,4.85,0.37,Zona Sul,True
17878,f,Copacabana,-22.96599,-43.1794,Entire home/apt,5,1471.0,327,4.7,1.86,Zona Sul,False
25026,t,Copacabana,-22.97649,-43.19122,Entire home/apt,3,850.0,304,4.74,1.71,Zona Sul,True
35764,t,Copacabana,-22.98107,-43.19136,Entire home/apt,2,324.0,498,4.91,2.87,Zona Sul,True
48305,t,Ipanema,-22.98591,-43.20302,Entire home/apt,13,3532.0,180,4.76,1.07,Zona Sul,True
49179,t,Copacabana,-22.9791,-43.19008,Entire home/apt,3,580.0,177,4.84,1.2,Zona Sul,True
50759,f,Barra da Tijuca,-23.00451,-43.30873,Entire home/apt,14,6000.0,7,4.57,0.06,Zona Oeste,False
51703,t,Copacabana,-22.981731,-43.190571,Entire home/apt,2,759.0,288,4.77,1.91,Zona Sul,True
278745,t,Ipanema,-22.98141,-43.20911,Entire home/apt,5,5394.0,1,5.0,0.01,Zona Sul,True
280625,f,Botafogo,-22.94265,-43.18768,Private room,3,377.0,33,4.69,0.21,Zona Sul,False
280765,f,Santa Teresa,-22.91543,-43.18419,Entire home/apt,3,140.0,3,4.67,0.02,Zona Sul,False
281304,t,Copacabana,-22.98069,-43.19277,Entire home/apt,4,896.0,37,4.74,0.23,Zona Sul,True
281459,t,Lagoa,-22.97406,-43.20676,Entire home/apt,4,1372.0,41,5.0,0.55,Zona Sul,True
282071,f,Flamengo,-22.9365,-43.17868,Entire home/apt,2,438.0,36,4.68,0.24,Zona Sul,False
284762,f,Copacabana,-22.98277,-43.1936,Entire home/apt,10,1200.0,10,3.8,0.08,Zona Sul,False
284910,f,Copacabana,-22.961776553330363,-43.17607759712209,Entire home/apt,4,5054.0,43,4.45,0.27,Zona Sul,False
53533,f,Joá,-23.00809,-43.29113,Entire home/apt,10,2697.0,37,4.95,0.23,Zona Oeste,False
60718,f,Flamengo,-22.92972,-43.17488,Entire home/apt,6,1200.0,13,4.83,0.08,Zona Sul,False
61661,t,Copacabana,-22.98453,-43.19248,Entire home/apt,4,280.0,44,4.54,0.26,Zona Sul,True
64795,f,Ipanema,-22.98169,-43.2028,Entire home/apt,6,1986.0,95,4.76,0.57,Zona Sul,False
66797,t,Copacabana,-22.9824,-43.19593,Entire home/apt,2,743.0,329,4.89,1.96,Zona Sul,True
70547,t,Santa Teresa,-22.9172,-43.17812,Private room,2,223.0,94,4.92,0.56,Zona Sul,True
75148,t,Copacabana,-22.98107,-43.19029,Entire home/apt,4,679.0,34,4.71,0.27,Zona Sul,True
76245,t,Copacabana,-22.98192,-43.19397,Entire home/apt,12,4567.0,160,4.39,0.98,Zona Sul,True
286677,f,Copacabana,-22.96633,-43.17754,Private room,4,864.0,43,4.66,0.28,Zona Sul,False
286788,f,Copacabana,-22.96633,-43.17754,Private room,3,636.0,28,4.79,0.18,Zona Sul,False
286792,f,Copacabana,-22.96745,-43.17654,Private room,3,664.0,1,5.0,0.01,Zona Sul,False
289898,f,Copacabana,-22.96633,-43.17754,Private room,2,640.0,5,4.8,0.05,Zona Sul,False
76300,t,Santa Teresa,-22.92742,-43.19464,Private room,3,203.0,251,4.81,1.6,Zona Sul,True
86670,t,Leblon,-22.9835398,-43.2160536,Entire home/apt,4,1258.0,122,4.68,0.75,Zona Sul,True
86978,f,Jacarepaguá,-22.97293,-43.38321,Private room,2,1011.0,0,,0.0,Zona Oeste,False
87762,t,Ipanema,-22.98339,-43.21436,Entire home/apt,4,671.0,174,4.71,1.96,Zona Sul,True
88528,t,Copacabana,-22.97794,-43.18969,Entire home/apt,3,1635.0,88,4.69,0.55,Zona Sul,True
88781,t,Copacabana,-22.9754828,-43.188548,Entire home/apt,3,1051.0,81,4.78,0.56,Zona Sul,True
290503,t,Copacabana,-22.98069,-43.19277,Entire home/apt,4,796.0,65,4.94,0.42,Zona Sul,True
290513,t,Urca,-22.952841,-43.168194,Entire home/apt,4,546.0,33,4.88,0.3,Zona Sul,True
291290,f,Copacabana,-22.97566,-43.18893,Entire home/apt,4,985.0,8,4.5,0.05,Zona Sul,False
293166,f,Santa Teresa,-22.9144,-43.18163,Entire home/apt,2,522.0,1,5.0,0.01,Zona Sul,False
293171,f,Santa Teresa,-22.9155,-43.18423,Entire home/apt,3,281.0,0,,0.0,Zona Sul,False
293725,t,Jardim Botânico,-22.96053,-43.22041,Private room,2,330.0,2,5.0,0.01,Zona Sul,True
89981,f,Ipanema,-22.98088,-43.20042,Private room,2,270.0,167,4.89,1.06,Zona Sul,False
94895,t,Copacabana,-22.97256,-43.18948,Private room,2,274.0,12,5.0,0.11,Zona Sul,True
96431,f,Barra da Tijuca,-23.01124,-43.37081,Entire home/apt,4,1001.0,65,4.82,0.45,Zona Oeste,False
98969,t,Recreio dos Bandeirantes,-23.03154,-43.47437,Private room,2,247.0,63,4.83,0.4,Zona Oeste,True
99336,t,Itanhangá,-22.98923,-43.31657,Entire home/apt,6,1143.0,0,,0.0,Zona Oeste,True
99547,t,Santa Teresa,-22.91423,-43.18236,Entire home/apt,3,301.0,69,4.6,0.48,Zona Sul,True
99971,t,Leblon,-22.98812,-43.22897,Entire home/apt,2,1231.0,175,4.79,1.07,Zona Sul,True
294292,t,Copacabana,-22.96849,-43.18863,Private room,3,369.0,144,4.98,0.92,Zona Sul,True
295493,f,Laranjeiras,-22.9409,-43.19129,Entire home/apt,5,614.0,15,4.92,0.1,Zona Sul,False
295683,f,Botafogo,-22.94664,-43.18558,Private room,2,70.0,182,4.73,1.15,Zona Sul,False
295955,t,Laranjeiras,-22.93525,-43.17963,Entire home/apt,3,674.0,29,4.76,0.18,Zona Sul,True
296910,f,Barra da Tijuca,-23.00705,-43.32212,Entire home/apt,4,1286.0,17,4.82,0.11,Zona Oeste,False
297908,f,Santa Teresa,-22.91735,-43.18133,Entire home/apt,3,407.0,82,4.91,0.55,Zona Sul,False
298395,t,Copacabana,-22.97294297409056,-43.18587004387549,Entire home/apt,8,3029.0,53,4.92,0.34,Zona Sul,True
303587,f,Copacabana,-22.98162841796875,-43.19441604614258,Private room,1,459.0,39,4.82,0.25,Zona Sul,False
106372,f,Barra da Tijuca,-23.00744,-43.43045,Entire home/apt,4,650.0,9,4.78,0.09,Zona Oeste,False
107469,f,Santa Teresa,-22.91889,-43.18038,Private room,1,59.0,2,5.0,0.01,Zona Sul,False
108072,f,Copacabana,-22.98314,-43.19086,Entire home/apt,4,303.0,196,4.67,1.18,Zona Sul,False
109747,t,Ipanema,-22.98697,-43.19751,Entire home/apt,8,6141.0,237,4.92,1.5,Zona Sul,True
118355,t,Itanhangá,-22.98752,-43.31505,Entire home/apt,12,4093.0,18,4.44,0.25,Zona Oeste,True
125656,f,Copacabana,-22.9696,-43.1887,Entire home/apt,2,878.0,96,4.98,0.58,Zona Sul,False
127018,t,Gávea,-22.98114,-43.23899,Private room,2,150.0,10,5.0,0.06,Zona Sul,True
128727,f,Praça Seca,-22.8957679,-43.3538124,Private room,2,193.0,5,4.8,0.03,Zona Oeste,False
306113,f,Copacabana,-22.97975,-43.19016,Entire home/apt,4,833.0,166,4.54,1.28,Zona Sul,False
309192,f,Santa Teresa,-22.91625,-43.18593,Entire home/apt,3,472.0,3,3.67,0.02,Zona Sul,False
310233,f,Copacabana,-22.96738,-43.18026,Entire home/apt,2,809.0,30,4.89,0.19,Zona Sul,False
311801,t,Copacabana,-22.96779,-43.18065,Entire home/apt,4,193.0,195,4.28,1.24,Zona Sul,True
313223,f,Ipanema,-22.98377,-43.20067,Entire home/apt,4,965.0,189,4.75,1.22,Zona Sul,False
130234,f,Copacabana,-22.97575,-43.18877,Entire home/apt,1,180.0,1,5.0,0.01,Zona Sul,False
132114,t,Laranjeiras,-22.93707,-43.19071,Private room,2,175.0,33,4.97,0.23,Zona Sul,True
132832,f,Copacabana,-22.98282,-43.18935,Private room,2,1140.0,4,4.75,0.04,Zona Sul,False
137002,t,Leblon,-22.98251,-43.22108,Entire home/apt,5,4164.0,39,4.95,0.24,Zona Sul,True
137048,t,Leblon,-22.98175,-43.22492,Entire home/apt,4,380.0,60,4.85,0.37,Zona Sul,True
137150,f,Lagoa,-22.97366,-43.20493,Entire home/apt,4,3371.0,0,,0.0,Zona Sul,False
137343,f,Ipanema,-22.98456,-43.1956,Entire home/apt,4,472.0,43,4.6,0.26,Zona Sul,False
141434,t,Botafogo,-22.95454,-43.17442,Entire home/apt,3,1580.0,94,4.91,0.57,Zona Sul,True
146402,t,Humaitá,-22.96148,-43.20038,Private room,2,694.0,100,4.95,0.65,Zona Sul,True
154127,f,Jacarepaguá,-22.97275,-43.41337,Entire home/apt,4,1500.0,0,,0.0,Zona Oeste,False
313985,t,Barra da Tijuca,-23.00715,-43.32929,Entire home/apt,4,665.0,11,5.0,0.07,Zona Oeste,True
315102,t,Ipanema,-22.98649,-43.19793,Entire home/apt,2,964.0,64,4.58,0.44,Zona Sul,True
166177,f,Copacabana,-22.97854,-43.1904,Entire home/apt,4,870.0,118,4.57,0.73,Zona Sul,False
166861,f,Copacabana,-22.98413,-43.19235,Private room,2,555.0,17,4.76,0.13,Zona Sul,False
166972,f,Copacabana,-22.96614,-43.18401,Entire home/apt,4,550.0,10,4.9,0.16,Zona Sul,False
167031,f,Ipanema,-22.9869,-43.19286,Entire home/apt,5,921.0,86,4.64,0.58,Zona Sul,False
167932,f,Copacabana,-22.97064,-43.18496,Entire home/apt,3,796.0,106,4.66,0.66,Zona Sul,False
170397,f,Copacabana,-22.97135,-43.18779,Entire home/apt,4,827.0,134,4.65,0.83,Zona Sul,False
171505,f,Vidigal,-22.99327,-43.23481,Entire home/apt,2,597.0,7,4.43,0.07,Zona Sul,False
172902,f,Copacabana,-22.98114,-43.19429,Entire home/apt,2,689.0,124,4.24,0.76,Zona Sul,False
315109,f,Ipanema,-22.9819,-43.20042,Entire home/apt,4,246.0,15,4.29,0.1,Zona Sul,False
316652,f,Botafogo,-22.94471,-43.18421,Private room,2,202.0,117,4.97,0.75,Zona Sul,False
321637,f,Botafogo,-22.94187,-43.18707,Private room,3,877.0,1,5.0,0.01,Zona Sul,False
321648,f,Botafogo,-22.94259,-43.18703,Private room,2,877.0,3,4.67,0.02,Zona Sul,False
321802,f,Santa Teresa,-22.92661,-43.19146,Private room,2,500.0,26,4.92,0.2,Zona Sul,False
322004,t,Ipanema,-22.98531,-43.20082,Entire home/apt,2,1233.0,267,4.94,1.73,Zona Sul,True
323213,f,Ipanema,-22.98123,-43.19865,Private room,1,467.0,21,4.76,0.16,Zona Sul,False
324324,t,Copacabana,-22.96488,-43.17707,Entire home/apt,6,1243.0,136,4.92,0.88,Zona Sul,True
324679,f,Botafogo,-22.94165,-43.18703,Private room,2,337.0,16,4.87,0.11,Zona Sul,False
326205,t,Copacabana,-22.96825,-43.18237,Entire home/apt,3,361.0,179,4.6,1.16,Zona Sul,True
327375,f,Santa Teresa,-22.92129,-43.18193,Entire home/apt,16,5874.0,13,3.75,0.09,Zona Sul,False
328626,f,Santa Teresa,-22.92286,-43.1879,Entire home/apt,6,1250.0,1,5.0,0.01,Zona Sul,False
330913,f,Copacabana,-22.96804,-43.18327,Entire home/apt,4,725.0,12,4.78,0.08,Zona Sul,False
173709,t,Copacabana,-22.96104,-43.17647,Entire home/apt,2,477.0,105,4.77,0.66,Zona Sul,True
174101,t,Copacabana,-22.98015,-43.19098,Entire home/apt,5,3705.0,232,4.95,1.43,Zona Sul,True
176185,t,Copacabana,-22.98401,-43.19035,Entire home/apt,8,6324.0,180,4.86,1.12,Zona Sul,True
178833,f,Copacabana,-22.98026,-43.19109,Private room,2,599.0,140,4.84,0.86,Zona Sul,False
178951,f,Copacabana,-22.98068,-43.191158,Entire home/apt,2,662.0,131,4.83,0.8,Zona Sul,False
186604,f,Centro,-22.90544,-43.19471,Private room,2,809.0,0,,0.0,Centro,False
188155,t,Copacabana,-22.96775,-43.18457,Entire home/apt,5,1200.0,109,4.56,0.68,Zona Sul,True
191462,f,Botafogo,-22.95156,-43.18891,Private room,1,158.0,71,4.89,0.7,Zona Sul,False
332150,t,Santa Teresa,-22.92879,-43.19474,Private room,3,203.0,92,4.79,0.62,Zona Sul,True
332151,t,Santa Teresa,-22.92691,-43.19309,Private room,3,203.0,46,4.76,0.34,Zona Sul,True
333305,f,Copacabana,-22.97009,-43.18231,Entire home/apt,4,3236.0,4,4.25,0.04,Zona Sul,False
334585,t,Jardim Botânico,-22.96204,-43.22045,Private room,2,330.0,3,4.67,0.02,Zona Sul,True
336502,t,Copacabana,-22.97946,-43.19211,Entire home/apt,4,1000.0,49,4.85,0.31,Zona Sul,True
340432,t,Leblon,-22.98173,-43.2247,Entire home/apt,4,900.0,276,4.84,1.78,Zona Sul,True
191955,f,Humaitá,-22.95644,-43.19992,Private room,1,321.0,6,5.0,0.06,Zona Sul,False
198665,f,Jardim Botânico,-22.96055,-43.22285,Private room,4,607.0,6,4.8,0.04,Zona Sul,False
200568,t,Ipanema,-22.98586,-43.19411,Entire home/apt,2,871.0,216,4.8,1.36,Zona Sul,True
202778,t,Copacabana,-22.96582,-43.17786,Entire home/apt,2,900.0,237,4.81,1.46,Zona Sul,True
209671,f,Glória,-22.923691973028685,-43.17444340654645,Entire home/apt,2,250.0,9,4.56,0.49,Zona Sul,False
216461,f,Flamengo,-22.9399,-43.17676,Private room,2,809.0,0,,0.0,Zona Sul,False
216700,f,Laranjeiras,-22.94373,-43.19147,Private room,4,350.0,27,4.96,0.18,Zona Sul,False
219250,f,Santa Teresa,-22.91666,-43.17947,Entire home/apt,4,220.0,450,4.83,2.95,Zona Sul,False
220377,t,Tijuca,-22.9288,-43.24046,Private room,2,220.0,6,5.0,0.04,Zona Norte,True
223073,t,Ipanema,-22.9828,-43.20467,Entire home/apt,2,850.0,485,4.81,3.01,Zona Sul,True
342874,t,Leme,-22.96392,-43.17263,Entire home/apt,2,432.0,212,4.93,1.37,Zona Sul,True
346694,f,Vila da Penha,-22.84208,-43.31572,Private room,2,438.0,0,,0.0,Zona Norte,False
347295,t,Copacabana,-22.96654,-43.18248,Entire home/apt,4,337.0,90,4.28,0.58,Zona Sul,True
347820,t,Copacabana,-22.98287,-43.18972,Entire home/apt,6,2800.0,380,4.86,2.43,Zona Sul,True
347883,t,Copacabana,-22.98222875639368,-43.18975580079,Entire home/apt,3,971.0,286,4.78,1.84,Zona Sul,True
230989,t,Copacabana,-22.97923,-43.18902,Entire home/apt,2,207.0,174,4.66,1.09,Zona Sul,True
231105,t,Jacarepaguá,-22.969053,-43.388355,Entire home/apt,3,343.0,127,4.87,0.93,Zona Oeste,True
231497,t,Copacabana,-22.98238,-43.19215,Entire home/apt,2,500.0,91,4.73,0.57,Zona Sul,True
231516,t,Copacabana,-22.97787,-43.18792,Entire home/apt,4,350.0,29,4.71,0.18,Zona Sul,True
236991,t,Copacabana,-22.96488,-43.17478,Entire home/apt,5,901.0,100,4.9,0.76,Zona Sul,True
239531,f,Copacabana,-22.96434,-43.17563,Entire home/apt,4,881.0,127,4.58,0.8,Zona Sul,False
247052,f,Botafogo,-22.95665,-43.18481,Entire home/apt,4,506.0,0,,0.0,Zona Sul,False
248756,f,Copacabana,-22.98029,-43.19054,Entire home/apt,4,307.0,170,4.76,1.06,Zona Sul,False
249323,f,Copacabana,-22.976,-43.18838,Entire home/apt,4,1469.0,163,4.8,1.02,Zona Sul,False
348330,f,Lagoa,-22.97668,-43.19735,Entire home/apt,5,1376.0,28,4.89,0.22,Zona Sul,False
348369,f,Lagoa,-22.97711,-43.19688,Private room,1,673.0,0,,0.0,Zona Sul,False
352718,f,Copacabana,-22.98127,-43.19215,Private room,2,500.0,2,5.0,0.01,Zona Sul,False
355075,f,Flamengo,-22.93527,-43.17834,Private room,2,1348.0,0,,0.0,Zona Sul,False
355197,t,Centro,-22.90941,-43.1935,Entire home/apt,4,345.0,25,4.36,0.16,Centro,True
